Title,Price,ISBN-10,Author,Format,Pages,Publisher,Language,Weight,Dimensions,Case pack,Availability
See Jane Score,8.99,60009241,Rachel Gibson,Paperback,384,"HarperCollins (January 28, 2003)",English,16oz,"4.19"" x 6.75"" x 0.96""",48,InStock
Daisy's Back in Town,7.99,006000925X,Rachel Gibson,Paperback,384,"HarperCollins (January 27, 2004)",English,6.56oz,"4.19"" x 6.75"" x 0.96""",48,InStock
"How Can I Forgive You? (The Courage to Forgive, the Freedom Not To)",16.99,60009314,Janis A. Spring,Paperback,272,"HarperCollins (February 1, 2005)",English,16oz,"5.31"" x 8"" x 0.61""",72,InStock
Depression Fallout (The Impact of Depression on Couples and What You Can Do to Preserve the Bond),15.99,60009349,Anne Sheffield,Paperback,304,"HarperCollins (April 1, 2003)",English,8oz,"5.31"" x 8"" x 0.68""",56,InStock
Cooking the RealAge (R) Way (Turn back your biological clock with more than 80 delicious and easy recipes),14.95,60009365,"Michael F. Roizen, John La Puma",Paperback,384,"HarperCollins (August 29, 2006)",English,22.64oz,"7.38"" x 9.12"" x 0.96""",20,InStock
"The RealAge(R) Workout (Maximum Health, Minimum Work)",17.99,60009381,"Michael F. Roizen, Tracy Hafen",Paperback,240,"HarperCollins (December 26, 2007)",English,14.4oz,"7.38"" x 9.12"" x 0.6""",26,InStock
No Lifeguard on Duty (The Accidental Life of the World's First Supermodel),14.99,60009470,Janice Dickinson,Paperback,320,"HarperCollins (November 10, 2009)",English,15.04oz,"6"" x 9"" x 0.83""",28,InStock
The Blitzkrieg Myth (How Hitler and the Allies Misread the Strategic Realities of World War II),17.99,60009772,John Mosier,Paperback,352,"HarperCollins (November 30, 2004)",English,16oz,"5.31"" x 8"" x 0.79""",52,InStock
General Patton (A Soldier's Life),21.99,60009837,Stanley Hirshson,Paperback,864,"HarperCollins (August 5, 2003)",English,16oz,"6"" x 9"" x 1.38""",16,InStock
His Brother's Keeper (One Family's Journey to the Edge of Medicine),14.99,60010088,Jonathan Weiner,Paperback,384,"HarperCollins (June 14, 2005)",English,11.6oz,"5.31"" x 8"" x 0.87""",48,InStock
Owen's Marshmallow Chick,7.99,60010126,"Kevin Henkes, Kevin Henkes",Board Book,24,"HarperCollins (January 22, 2002)",English,7.2oz,"6"" x 6""",80,InStock
"Yogilates(R) (Integrating Yoga and Pilates for Complete Fitness, Strength, and Flexibility)",19.95,60010274,Jonathan Urla,Paperback,208,"HarperCollins (December 23, 2003)",English,17.28oz,"7.38"" x 9.12"" x 0.39""",34,InStock
"Happy Birthday to You, You Belong in a Zoo",7.99,60010290,"Diane deGroat, Diane deGroat",Paperback,32,"HarperCollins (January 23, 2007)",English,4.8oz,"8"" x 10""",120,InStock
Miss Lady Bird's Wildflowers (How a First Lady Changed America),17.99,60011076,"Kathi Appelt, Joy Fisher Hein",Hardcover,40,"HarperCollins (February 15, 2005)",English,16.24oz,"9"" x 11""",30,InStock
"\xc2\xbfEl canguro tiene mam\xc3\xa1? (Does a Kangaroo Have a Mother, Too? (Spanish edition))",17.99,60011106,"Eric Carle, Eric Carle",Hardcover,32,"HarperCollins (March 26, 2002)",Spanish,13.28oz,"11"" x 8.75"" x 0.32""",40,InStock
The Mexicans (A Personal Portrait of a People),15.99,60011300,Patrick Oster,Paperback,352,"HarperCollins (March 5, 2002)",English,16oz,"5.31"" x 8"" x 0.8""",44,InStock
The Harlem Hellfighters (When Pride Met Courage),9.99,60011386,"Walter Dean Myers, Bill Miles",Paperback,160,"HarperCollins (July 22, 2014)",English,14.11oz,"7"" x 9""",40,InStock
The Essential Lewis and Clark,15.99,60011599,Landon Y. Jones,Paperback,224,"HarperCollins (March 19, 2002)",English,16oz,"5"" x 7"" x 0.56""",60,InStock
Robert Young Pelton's The World's Most Dangerous Places (5th Edition),25.99,60011602,Robert Young Pelton,Paperback,1088,"HarperCollins (April 1, 2003)",English,16oz,"5.38"" x 8.38"" x 1.74""",16,InStock
The Parables of Peanuts,14.99,60011610,Robert L. Short,Paperback,336,"HarperCollins (February 19, 2002)",English,8.64oz,"5.31"" x 8"" x 0.76""",40,InStock
"Republica de East LA, La (Cuentos)",12.99,60011629,Luis J. Rodriguez,Paperback,272,"HarperCollins (March 4, 2003)",Spanish,10.24oz,"5.31"" x 8"" x 0.61""",40,InStock
Small Town,7.99,60011912,Lawrence Block,Paperback,576,"HarperCollins (October 28, 2003)",English,9.84oz,"4.19"" x 6.75"" x 1.15""",48,InStock
"Annie, Between the States",10.99,60012137,L. M. Elliott,Paperback,544,"HarperCollins (January 3, 2006)",English,8.64oz,"4.19"" x 6.75"" x 1.09""",32,InStock
Geography Club,9.99,60012234,Brent Hartinger,Paperback,240,"HarperCollins (February 17, 2004)",English,5.44oz,"5.12"" x 7.62"" x 0.48""",72,InStock
"The Violin Maker (A Search for the Secrets of Craftsmanship, Sound, and Stradivari)",15.99,60012684,John Marchese,Paperback,256,"HarperCollins (April 1, 2008)",English,7.36oz,"5"" x 8"" x 0.64""",64,InStock
Waxworks (Poems),22.95,60012692,Frieda Hughes,Hardcover,112,"HarperCollins (February 4, 2003)",English,10.72oz,"6"" x 9""",48,InStock
Parts Unknown (A Novel),14.99,60012773,Kevin Brennan,Paperback,320,"HarperCollins (January 6, 2004)",English,14.16oz,"5.62"" x 8.69"" x 0.72""",28,InStock
A Cook's Tour (Global Adventures in Extreme Cuisines),16.99,60012781,Anthony Bourdain,Paperback,288,"HarperCollins (November 5, 2002)",English,8oz,"5.31"" x 8"" x 0.65""",36,InStock
The Face in the Mirror (How We Know Who We Are),16.99,60012803,"Julian Keenan, Gordon G. Gallup, Dean Falk",Paperback,304,"HarperCollins (July 6, 2004)",English,11.2oz,"5.31"" x 8"" x 0.68""",28,InStock
Patrick (Son of Ireland),8.99,006001282X,Stephen R. Lawhead,Paperback,592,"HarperCollins (January 27, 2004)",English,16oz,"4.19"" x 6.75"" x 1.18""",24,InStock
Let Us Eat Cake (Adventures in Food and Friendship),16.99,60012846,Sharon Boorstin,Paperback,336,"HarperCollins (June 17, 2003)",English,13.12oz,"5"" x 8"" x 0.84""",44,InStock
Monstrous Regiment,7.99,60013168,Terry Pratchett,Paperback,416,"HarperCollins (August 31, 2004)",English,7.12oz,"4.1875"" x 6.75"" x 1.04""",48,InStock
The High-Rise Private Eyes #4: The Case of the Troublesome Turtle,4.99,60013230,"Cynthia Rylant, G. Brian Karas",Paperback,48,"HarperCollins (April 16, 2002)",English,2.88oz,"5.5"" x 8.5"" x 0.19""",92,InStock
Celtic Daily Prayer (Prayers and Readings From the Northumbria Community),32.99,60013249,The Northumbria Community,Hardcover,848,"HarperCollins (February 19, 2002)",English,26.88oz,"5.5"" x 7.38"" x 1.6""",10,InStock
The Law at Randado,8.99,60013494,Elmore Leonard,Paperback,304,"HarperCollins (July 2, 2002)",English,16oz,"4.19"" x 6.75"" x 0.76""",48,InStock
Gunsights,5.99,60013508,Elmore Leonard,Paperback,320,"HarperCollins (September 3, 2002)",English,5.44oz,"4.19"" x 6.75"" x 0.64""",48,InStock
Beetle McGrady Eats Bugs!,17.99,60013540,"Megan McDonald, Jane Manning",Hardcover,32,"HarperCollins (March 29, 2005)",English,16oz,"10"" x 10.5""",30,InStock
Five Boys (A Novel),13.99,60013958,Mick Jackson,Paperback,288,"HarperCollins (July 1, 2003)",English,10.88oz,"5.12"" x 7.94"" x 0.65""",30,InStock
The Eve of Destruction (The Untold Story of the Yom Kippur War),13.99,60014008,Howard Blum,Paperback,384,"HarperCollins (October 5, 2004)",English,12.48oz,"5.31"" x 8"" x 0.86""",48,InStock
"The Greatest Stories Never Told (100 Tales from History to Astonish, Bewilder, and Stupefy)",19.99,60014016,Rick Beyer,Hardcover,224,"HarperCollins (March 18, 2003)",English,18.4oz,"7"" x 7"" x 0.89""",26,InStock
My Stroke of Luck,14.99,60014040,Kirk Douglas,Paperback,192,"HarperCollins (January 7, 2003)",English,5.36oz,"5.31"" x 8"" x 0.43""",80,InStock
The Watson Dynasty (The Fiery Reign and Troubled Legacy of IBM's Founding Father and Son),16.99,60014067,Richard S. Tedlow,Paperback,352,"HarperCollins (November 23, 2004)",English,14.72oz,"5.56"" x 8.69"" x 0.79""",24,InStock
Blindsided (Lifting a Life Above Illness: A Reluctant Memoir),14.99,60014105,Richard M. Cohen,Paperback,272,"HarperCollins (February 1, 2005)",English,8.08oz,"5.31"" x 8"" x 0.62""",64,InStock
"Augusta, Gone (A True Story)",14.99,60014156,Martha Tod Dudman,Paperback,256,"HarperCollins (April 2, 2002)",English,8oz,"5.31"" x 8"" x 0.58""",48,InStock
Calling Doctor Amelia Bedelia,16.99,60014210,"Herman Parish, Lynn Sweat",Hardcover,64,"HarperCollins (July 23, 2002)",English,13.12oz,"7.5"" x 9"" x 0.39""",40,InStock
kids are worth it! Revised Edition (Giving Your Child the Gift of Inner Discipline),16.99,60014318,Barbara Coloroso,Paperback,352,"HarperCollins (August 20, 2002)",English,16oz,"5.31"" x 8"" x 0.79""",52,InStock
In the Wake of the Plague (The Black Death and the World It Made),13.99,60014342,Norman F. Cantor,Paperback,272,"HarperCollins (April 16, 2002)",English,7.68oz,"5.3125"" x 8"" x 0.6126""",48,InStock
The Wizard Mouse,16.99,60080663,"Dean Morrissey, Dean Morrissey, Stephen Krensky",Hardcover,32,"HarperCollins (October 4, 2011)",English,14.72oz,"9"" x 11""",30,InStock
After,9.99,60080833,Francine Prose,Paperback,352,"HarperCollins (May 11, 2004)",English,7.52oz,"5"" x 7.12"" x 0.7""",52,InStock
The Stepford Wives,14.99,60080841,Ira Levin,Paperback,144,"HarperCollins (July 23, 2002)",English,4.16oz,"5.31"" x 8"" x 0.32""",124,InStock
Guided Tours of Hell (Novellas),14.95,006008085X,Francine Prose,Paperback,256,"HarperCollins (September 3, 2002)",English,6.96oz,"5.31"" x 8"" x 0.58""",72,InStock
"Good Driving, Amelia Bedelia",4.99,60080922,"Herman Parish, Lynn Sweat",Paperback,48,"HarperCollins (April 16, 2002)",English,3.84oz,"6"" x 9"" x 0.19""",92,InStock
HarperCollins Treasury of Picture Book Classics (A Child's First Collection),35,60080949,"Various, Various",Hardcover,448,"HarperCollins (October 15, 2002)",English,76.48oz,"10"" x 10""",6,InStock
"The Dance of Fear (Rising Above Anxiety, Fear, and Shame to Be Your Best and Bravest Self)",15.99,60081589,Harriet Lerner,Paperback,256,"HarperCollins (May 3, 2005)",English,7.04oz,"5.31"" x 8"" x 0.58""",72,InStock
The Second Coming of Lucy Hatch,13.95,006008166X,Marsha Moyer,Paperback,320,"HarperCollins (May 27, 2003)",English,11.04oz,"5.31"" x 8"" x 0.72""",20,InStock
Mary Engelbreit's Mother Goose (One Hundred Best-Loved Verses),19.99,60081716,"Mary Engelbreit, Mary Engelbreit",Hardcover,128,"HarperCollins (September 20, 2005)",English,30.32oz,"10"" x 10"" x 0.54""",18,InStock
Queen of Hearts,6.99,006008183X,"Mary Engelbreit, Mary Engelbreit",Paperback,32,"HarperCollins (November 25, 2008)",English,5.12oz,"8.75"" x 10"" x 0.12""",110,InStock
Queen of Halloween,17.99,60081902,"Mary Engelbreit, Mary Engelbreit",Hardcover,32,"HarperCollins (July 1, 2008)",English,12.56oz,"8.75"" x 10""",40,InStock
Courting Trouble,26.95,60081937,Lisa Scottoline,Paperback,496,"HarperCollins (May 21, 2002)",English,22.08oz,"6"" x 9"" x 1.24""",12,InStock
Once Upon a Town (The Miracle of the North Platte Canteen),16.99,006008197X,Bob Greene,Paperback,288,"HarperCollins (May 6, 2003)",English,7.68oz,"5.31"" x 8"" x 0.65""",60,InStock
The Fall of Advertising and the Rise of PR,14.99,60081996,"Al Ries, Laura Ries",Paperback,320,"HarperCollins (May 11, 2004)",English,8.77oz,"5.31"" x 8"" x 0.72""",60,InStock
Thyroid Power (Ten Steps to Total Health),14.99,60082224,"Richard Shames, Karilee H. Shames",Paperback,336,"HarperCollins (May 28, 2002)",English,8.64oz,"5.31"" x 8"" x 0.76""",56,InStock
Three Little Pigs,6.99,60082364,"Public Domain, Thea Kliros",Board Book,20,"HarperCollins (April 29, 2003)",English,5.58oz,"6"" x 6""",84,InStock
Three Billy Goats Gruff,6.99,60082372,"Public Domain, Thea Kliros",Board Book,20,"HarperCollins (April 29, 2003)",English,6.56oz,"6"" x 6""",80,InStock
Edgewater (Poems),14.99,60082534,Ruth L. Schwartz,Paperback,128,"HarperCollins (July 23, 2002)",English,4.24oz,"5.31"" x 8"" x 0.32""",120,InStock
The Receiving (Reclaiming Jewish Women's Wisdom),13.95,60082712,Tirzah Firestone,Paperback,288,"HarperCollins (January 6, 2004)",English,9.92oz,"5.31"" x 8"" x 0.65""",36,InStock
Gallows Thief (A Novel),16.99,60082747,Bernard Cornwell,Paperback,320,"HarperCollins (May 10, 2005)",English,16oz,"5.31"" x 8"" x 0.72""",60,InStock
Some of My Best Friends (Writings on Interracial Friendships),14.99,60082771,Emily Bernard,Paperback,240,"HarperCollins (June 28, 2005)",English,9.6oz,"5.31"" x 8"" x 0.54""",36,InStock
Should America Pay? (Slavery and the Raging Debate on Reparations),14.99,60083115,Raymond Winbush,Paperback,448,"HarperCollins (August 5, 2003)",English,13.28oz,"5.31"" x 8"" x 1.02""",28,InStock
How to Cook  Revised Edition (An Easy and Imaginative Guide for the Beginner),15.99,60083913,Raymond Sokolov,Paperback,320,"HarperCollins (May 4, 2004)",English,16.8oz,"6.12"" x 9.25"" x 0.8""",28,InStock
The Hunted,7.99,60084065,Elmore Leonard,Paperback,336,"HarperCollins (January 28, 2003)",English,5.76oz,"4.19"" x 6.75"" x 0.84""",48,InStock
"The Holistic Pediatrician (Second Edition) (A Pediatrician's Comprehensive Guide to Safe and Effective Therapies for the 25 Most Common Ailments of Infants, Children, and Adolescents)",22.99,60084278,Kathi J. Kemper,Paperback,448,"HarperCollins (August 6, 2002)",English,26.4oz,"7.375"" x 9.25"" x 1.0182""",14,InStock
"When Children Grieve (For Adults to Help Children Deal with Death, Divorce, Pet Loss, Moving, and Other Losses)",16.99,60084294,"John W. James, Russell Friedman, Dr. Leslie Matthews",Paperback,288,"HarperCollins (June 4, 2002)",English,8oz,"5.31"" x 8"" x 0.65""",64,InStock
The Myth of the Great War (A New Military History of World War I),15.99,60084332,"John Mosier, Ltd. Literary Agency East",Paperback,400,"HarperCollins (July 30, 2002)",English,10.4oz,"5.31"" x 8"" x 0.9""",44,InStock
In Open Spaces,14.99,60084340,Russell Rowland,Paperback,384,"HarperCollins (June 4, 2002)",English,11.2oz,"5.31"" x 8"" x 0.86""",48,InStock
Somewhere South of Here (A Novel),14.99,60084375,William Kowalski,Paperback,304,"HarperCollins (May 28, 2002)",English,14.08oz,"5.31"" x 8"" x 0.69""",60,InStock
Bread Alone (A Novel),15.99,60084405,Judith R. Hendricks,Paperback,368,"HarperCollins (May 28, 2002)",English,9.68oz,"5.31"" x 8"" x 0.83""",52,InStock
The Shape of Things to Come (A Novel),12.95,60084413,Maud Casey,Paperback,272,"HarperCollins (July 23, 2002)",English,8.8oz,"5.31"" x 8"" x 0.61""",24,InStock
A Visionary Nation (Four Centuries of American Dreams and What Lies Ahead),14.99,60084421,Zachary Karabell,Paperback,256,"HarperCollins (June 18, 2002)",English,10.24oz,"5.31"" x 8"" x 0.58""",34,InStock
The Healthy Heart Miracle (Your Roadmap to Lifelong Health),15.99,60084480,Gabe Mirkin,Paperback,288,"HarperCollins (January 4, 2005)",English,11.2oz,"5.31"" x 8"" x 0.65""",30,InStock
"How to Shoot a Feature Film for Under 10,000 (And Not Go To Jail)",14.99,60084677,Bret Stern,Paperback,320,"HarperCollins (August 20, 2002)",English,9.6oz,"5.31"" x 8"" x 0.73""",36,InStock
Salt (Grain of Life),15.99,60084685,Pierre Laszlo,Paperback,224,"HarperCollins (June 4, 2002)",English,11.2oz,"6"" x 9"" x 0.56""",40,InStock
Never (Poems),14.99,60084723,Jorie Graham,Paperback,128,"HarperCollins (March 4, 2003)",English,8.24oz,"7.38"" x 9.25"" x 0.32""",48,InStock
Blockbusters (The Five Keys to Developing GREAT New Products),15.99,006008474X,"Gary S. Lynn, Richard R. Reilly",Paperback,272,"HarperCollins (August 14, 2003)",English,11.52oz,"5.5"" x 8.69"" x 0.68""",32,InStock
"The Dream (Martin Luther King, Jr., and the Speech that Inspired a Nation)",13.99,60084774,Drew Hansen,Paperback,312,"HarperCollins (February 1, 2005)",English,10.4oz,"5.5"" x 8.25"" x 0.71""",40,InStock
Charmed Lives (A Family Romance),16.99,60085568,Michael Korda,Paperback,512,"HarperCollins (May 14, 2002)",English,15.28oz,"5.31"" x 8"" x 1.15""",36,InStock
One Candle,7.99,60085606,"Eve Bunting, K. Wendy Popp",Paperback,40,"HarperCollins (September 21, 2004)",English,6.48oz,"10.5"" x 9""",80,InStock
Frida (A Biography of Frida Kahlo),24.99,60085894,Hayden Herrera,Paperback,528,"HarperCollins (October 1, 2002)",English,24.08oz,"6.12"" x 9.25"" x 1.4""",20,InStock
The RealAge Diet (Make Yourself Younger with What You Eat),13.95,60086122,"Michael F. Roizen, John La Puma",Paperback,400,"HarperCollins (June 4, 2002)",English,17.92oz,"6.12"" x 9.25"" x 1""",28,InStock
Commodore Perry in the Land of the Shogun,9.99,60086254,Rhoda Blumberg,Paperback,144,"HarperCollins (January 21, 2003)",English,18.48oz,"8.5"" x 11"" x 0.28""",20,InStock
Filthy Rich,14.99,60086386,Dorothy Samuels,Paperback,240,"HarperCollins (June 18, 2002)",English,6.5oz,"5.31"" x 8"" x 0.54""",36,InStock
"El le\xc3\xb3n, la bruja y el ropero (The Lion, the Witch and the Wardrobe (Spanish edition))",9.99,60086610,"C. S. Lewis, Pauline Baynes",Paperback,208,"HarperCollins (October 1, 2002)",Spanish,5.12oz,"5.12"" x 7.62"" x 0.42""",84,InStock
Scimitar SL-2,7.99,60086653,Patrick Robinson,Paperback,464,"HarperCollins (April 26, 2005)",English,7.76oz,"4.19"" x 6.75"" x 1.16""",24,InStock
Shattered Love (A Memoir),16.99,60087447,Richard Chamberlain,Paperback,272,"HarperCollins (May 4, 2004)",English,11.84oz,"6"" x 9"" x 0.75""",22,InStock
On the Run (An Angler's Journey Down the Striper Coast),14.99,60087463,David DiBenedetto,Paperback,256,"HarperCollins (September 14, 2004)",English,8.06oz,"5.31"" x 8"" x 0.58""",72,InStock
Remarkable Changes (Turning Life's Challenges into Opportunities),15.99,006008748X,Jane Seymour,Paperback,240,"HarperCollins (July 6, 2004)",English,12oz,"6"" x 9"" x 0.6""",36,InStock
French Food at Home,15.99,60087722,Laura Calder,Paperback,240,"HarperCollins (July 5, 2005)",English,15.2oz,"7.38"" x 9.12"" x 0.66""",24,InStock
Spanglish (The Making of a New American Language),16.99,60087765,Ilan Stavans,Paperback,288,"HarperCollins (August 3, 2004)",English,16oz,"5.31"" x 8"" x 0.65""",64,InStock
The Other Diabetes (Living And Eating Well With Type 2 Diabetes),14.99,60088133,Elizabeth N. Hiser,Paperback,256,"HarperCollins (June 4, 2002)",English,10.16oz,"6.12"" x 9.25"" x 0.64""",32,InStock
"Jump, Frog, Jump! Board Book",8.99,60088192,"Robert Kalan, Byron Barton",Board Book,34,"HarperCollins (March 18, 2003)",English,8.32oz,"6.25"" x 5""",60,InStock
The Good Book (Reading the Bible with Mind and Heart),16.99,60088303,Peter J. Gomes,Paperback,400,"HarperCollins (April 30, 2002)",English,15.36oz,"6"" x 9"" x 1""",24,InStock
Sermons (Biblical Wisdom For Daily Living),14.99,60088311,"Peter J. Gomes, Henry L. Gates",Paperback,256,"HarperCollins (April 30, 2002)",English,10.24oz,"6"" x 9"" x 0.58""",36,InStock
"I, Crocodile",7.99,60088591,"Fred Marcellino, Fred Marcellino",Paperback,32,"HarperCollins (August 20, 2002)",English,7.04oz,"11.25"" x 10"" x 0.12""",80,InStock
My Monster Mama Loves Me So,7.99,60088605,"Laura Leuck, Mark Buehner",Paperback,24,"HarperCollins (August 20, 2002)",English,3.84oz,"9"" x 9""",150,InStock
Fire,13.99,60088613,Sebastian Junger,Paperback,272,"HarperCollins (September 24, 2002)",English,7.52oz,"5.31"" x 8"" x 0.61""",64,InStock
Condor (To the Brink and Back--the Life and Times of One Giant Bird),14.99,006008863X,John Nielsen,Paperback,288,"HarperCollins (March 13, 2007)",English,11.2oz,"5.31"" x 8"" x 0.65""",30,InStock
A Year in the Life of William Shakespeare (1599),16.99,60088745,James Shapiro,Paperback,432,"HarperCollins (June 13, 2006)",English,12.06oz,"5.31"" x 8"" x 0.97""",44,InStock
Evolution's Captain (The Story of the Kidnapping That Led to Charles Darwin's Voyage Aboard the Beagle),15.99,60088788,Peter Nichols,Paperback,352,"HarperCollins (June 29, 2004)",English,10.56oz,"5.31"" x 8"" x 0.79""",52,InStock
Bobbi Brown Beauty Evolution (A Guide to a Lifetime of Beauty),18.95,60088826,Bobbi Brown,Paperback,224,"HarperCollins (September 6, 2005)",English,21.2oz,"7.38"" x 9.12"" x 0.54""",26,InStock
"Quick Loaves (150 Breads and Cakes, Meat and Meatless Loaves)",17.99,60088834,Jean Anderson,Paperback,304,"HarperCollins (February 1, 2005)",English,21.76oz,"8"" x 8"" x 0.76""",14,InStock
The Nicklaus Way (How to Apply Jack Nicklaus's Unique Course Strategies and Scoring Techniques to Your Own Game),13.99,60088869,John Andrisani,Paperback,160,"HarperCollins (May 4, 2004)",English,6.4oz,"5.31"" x 8"" x 0.36""",54,InStock
Heaven's My Destination (A Novel),14.99,60088893,Thornton Wilder,Paperback,240,"HarperCollins (September 16, 2003)",English,7.2oz,"5.31"" x 8"" x 0.54""",52,InStock
The Ides of March (A Novel),14.99,60088907,"Thornton Wilder, Jeremy McCarter",Paperback,304,"HarperCollins (September 16, 2003)",English,10.56oz,"5.3125"" x 8"" x 0.6847""",60,InStock
Theophilus North (A Novel),15.99,60088923,Thornton Wilder,Paperback,432,"HarperCollins (April 15, 2003)",English,11.44oz,"5.3125"" x 8"" x 0.973""",36,InStock
The Skin of Our Teeth (A Play),14.99,60088931,Thornton Wilder,Paperback,176,"HarperCollins (April 15, 2003)",English,5.12oz,"5.3125"" x 8"" x 0.44""",88,InStock
The Dark Bride (A Novel),16.99,60088958,Laura Restrepo,Paperback,368,"HarperCollins (September 2, 2003)",English,16oz,"5.31"" x 8"" x 0.84""",48,InStock
Isle of Passion (A Novel),13.99,60088990,Laura Restrepo,Paperback,320,"HarperCollins (October 31, 2006)",English,12.48oz,"5.3125"" x 8"" x 0.7207""",28,InStock
Little Bo in Italy (The Continued Adventures of Bonnie Boadicea),19.99,60089083,"Julie Andrews Edwards, Henry Cole",Hardcover,112,"HarperCollins (October 26, 2010)",English,21.04oz,"8"" x 10""",24,InStock
N. C. Wyeth (A Biography),29.99,60089261,David Michaelis,Paperback,576,"HarperCollins (January 21, 2003)",English,27.68oz,"6"" x 9"" x 1.44""",16,InStock
Let Their Spirits Dance (A Novel),13.99,60089482,Stella Pope Duarte,Paperback,336,"HarperCollins (November 4, 2003)",English,10.32oz,"5.31"" x 8"" x 0.76""",56,InStock
Space Cat,4.99,60089679,"Doug Cushman, Doug Cushman",Paperback,32,"HarperCollins (May 9, 2006)",English,2.64oz,"6"" x 9"" x 0.12""",92,InStock
WomanPrayers (Prayers by Women from throughout History and around the World),19.99,60089709,Mary Ford-Grabowsky,Hardcover,224,"HarperCollins (May 6, 2003)",English,8.64oz,"5.5"" x 6.25"" x 0.81""",28,InStock
Tree Girl,10.99,60090065,Ben Mikaelsen,Paperback,240,"HarperCollins (August 23, 2005)",English,16oz,"5"" x 7.12"" x 0.48""",72,InStock
Ghost of Spirit Bear,16.99,60090073,Ben Mikaelsen,Hardcover,160,"HarperCollins (June 17, 2008)",English,9.28oz,"5.5"" x 8.25"" x 0.65""",36,InStock
How to Make War (Fourth Edition) (A Comprehensive Guide to Modern Warfare in the Twenty-first Century),22.99,006009012X,James F. Dunnigan,Paperback,672,"HarperCollins (April 1, 2003)",English,23.68oz,"6"" x 9"" x 1.68""",12,InStock
Bodies and Souls (The Tragic Plight of Three Jewish Women Forced into Prostitution in the Americas),14.99,60090243,Isabel Vincent,Paperback,304,"HarperCollins (December 12, 2006)",English,9.28oz,"5.31"" x 8"" x 0.69""",60,InStock
Founding Mothers (The Women Who Raised Our Nation),27.99,60090251,Cokie Roberts,Hardcover,384,"HarperCollins (April 13, 2004)",English,19.2oz,"6.12"" x 9"" x 1.21""",16,InStock
How to Marry a Divorced Man,13.95,60090332,Leslie Fram,Paperback,192,"HarperCollins (February 3, 2004)",English,5.76oz,"5.31"" x 8"" x 0.43""",80,InStock
Crocodile Soup (A Novel),16.99,60090405,Julia Darling,Paperback,352,"HarperCollins (July 2, 2002)",English,13.44oz,"5.31"" x 8"" x 0.79""",24,InStock
Shifting (The Double Lives of Black Women in America),15.99,60090553,"Charisse Jones, Kumea Shorter-Gooden",Paperback,368,"HarperCollins (July 27, 2004)",English,9.89oz,"5.31"" x 8"" x 0.83""",52,InStock
"Savage Kingdom (The True Story of Jamestown, 1607, and the Settlement of America)",16.99,006009057X,Benjamin Woolley,Paperback,512,"HarperCollins (April 8, 2008)",English,15.68oz,"5.31"" x 8"" x 0.82""",36,InStock
"Practical Virtues (Readings, Sermons, Prayers, and Hymns for the African American Family)",14.99,60090618,"Floyd H. Flake, Elaine Flake",Paperback,416,"HarperCollins (November 2, 2004)",English,15.68oz,"5.31"" x 8"" x 0.94""",22,InStock
The Schooling of Claybird Catts (A Novel),15.99,60090634,Janis Owens,Paperback,304,"HarperCollins (February 17, 2004)",English,11.36oz,"5.31"" x 8"" x 0.68""",64,InStock
Birth of the Chess Queen (A History),17.99,60090650,Marilyn Yalom,Paperback,336,"HarperCollins (April 26, 2005)",English,10.24oz,"5.31"" x 8"" x 0.72""",56,InStock
Baby Signs for Mealtime,6.99,60090731,"Linda Acredolo, Penny Gentieu, Susan Goodwyn",Board Book,24,"HarperCollins (May 7, 2002)",English,7.04oz,"5.5"" x 6.75""",80,InStock
My First Baby Signs,7.99,006009074X,"Linda Acredolo, Penny Gentieu, Susan Goodwyn",Board Book,24,"HarperCollins (May 7, 2002)",English,16oz,"5.5"" x 6.75""",48,InStock
Baby Signs for Animals,6.99,60090758,"Linda Acredolo, Penny Gentieu, Susan Goodwyn",Board Book,24,"HarperCollins (January 21, 2003)",English,7.2oz,"5.5"" x 6.75""",80,InStock
Gingerbread Mouse,7.99,60090820,"Katy Bratun, Katy Bratun",Paperback,32,"HarperCollins (October 9, 2007)",English,5.92oz,"10"" x 10"" x 0.12""",100,InStock
All in Just One Cookie,17.99,60090928,"Susan Goodman, Timothy Bush",Hardcover,32,"HarperCollins (June 13, 2006)",English,14.72oz,"9"" x 11""",36,InStock
El gran granero rojo (Big Red Barn Board Book (Spanish edition)),7.99,006009107X,"Margaret Wise Brown, Felicia Bond",Board Book,34,"HarperCollins (February 18, 2003)",Spanish,8.32oz,"5"" x 5.88""",60,InStock
A Drop of Blood,5.99,006009110X,"Paul Showers, Edward Miller",Paperback,32,"HarperCollins (May 4, 2004)",English,4.8oz,"10"" x 8""",100,InStock
"Honey, I Love",17.99,60091231,"Eloise Greenfield, Jan Spivey Gilchrist",Hardcover,32,"HarperCollins (December 24, 2002)",English,12.48oz,"8.75"" x 10""",40,InStock
The Wild Irish (A Novel of Elizabeth I and the Pirate O'Malley),15.99,60091436,Robin Maxwell,Paperback,400,"HarperCollins (October 26, 2004)",English,16.96oz,"5.31"" x 8"" x 0.9""",48,InStock
Fiesta! Board Book (Bilingual Spanish-English),7.99,60092637,"Ginger Foglesong Guy, Rene King Moreno",Board Book,34,"HarperCollins (February 18, 2003)",Spanish,8.96oz,"6.25"" x 5""",60,InStock
